Key,Description,JA,EN
SAY.Flowchart_1.93.小学生,,あの、これはちょっとしたお礼なんですけど...,"Well, this is just a small token of my appreciation..."
SAY.Flowchart_1.94.うさぎのしおり,,小学生は、うさぎが描かれたしおりを渡した。,She handed over a bookmark with a rabbit on it.
SAY.Flowchart_1.95.小学生,,運転手さんは使わないかもしれないけど...,"You may not use it, but..."
SAY.Flowchart_1.96.小学生,,誰かかわいいものが好きな人がいたら、あげてください。,"If anyone likes something cute, please give it to him or her."
SAY.Flowchart_1.97.運転手,,お預かりしますね,I'll take it.
SAY.Flowchart_1.99.運転手,,西エリアで、どこかに向かいますか？,Are you going somewhere in the west area?
SAY.Flowchart_1.100.小学生,,小学校近くの文房具屋さんに。手紙、買ってみようかなって...,At the stationery shop near the elementary school. I want to buy a letter.
SAY.Flowchart_1.102.運転手,,かしこまりました,Sure.
SAY.Flowchart_1.101.小学生,,小学校にお願いします。,"Elementary school, please."
SAY.Flowchart_1.121.運転手,,かしこまりました,Sure.
SAY.Flowchart_1.50.運転手,,何か思い出したことがある気がする...,I think I remember something...
SAY.Flowchart_1.51.運転手,,そうだ...中央エリアで、チンピラが怪我をしていた。,A hooligan was injured in the central area.
SAY.Flowchart_1.53.運転手,,お客さん。病院はどちらにありますか？,Excuse me. Where is the hospital?
SAY.Flowchart_1.52.小学生,,中央エリアの、西の方です。,It's west of the central area.
SAY.Flowchart_1.54.運転手,,お客さんを乗せる前に、少し怪我人を見かけまして...,I saw an injured person before I picked up you...
SAY.Flowchart_1.55.運転手,,病院で診てもらうことはできますか？,Can I take him to a doctor at the hospital?
SAY.Flowchart_1.56.小学生,,え...！そうだったんですか？だったらすぐに向かいましょう！,Ah...! Is that so? Then let's go right away!
SAY.Flowchart_1.75.運転手,,そういえば、ご両親は何のお医者さんなんですか？,"By the way, what kind of doctor are your parents?"
SAY.Flowchart_1.76.小学生,,あ、えっと、いろいろしているみたいです。,"Well, it looks like they're doing a lot of things."
SAY.Flowchart_1.77.小学生,,ここの街は狭いから、いろいろな病気とか怪我の人がたくさんきます。,"This town is small, so many people with various diseases and injuries come."
SAY.Flowchart_1.78.運転手,,大変そうですね...,That sounds like a lot of work...
SAY.Flowchart_1.79.小学生,,本当にいろんな人が来るんです。時々、ちょっと危ない人も...,There are so many people coming. Sometimes slightly dangerous person...
SAY.Flowchart_1.80.運転手,,危ない人？,A dangerous person?
SAY.Flowchart_1.81.小学生,,わたしもよく知らないんですけど...。そういうときに、向こうに行ってなさいって言われるから...,"I don't know much about it either, but...I was told to go there at that time, so..."
SAY.Flowchart_1.82.小学生,,でも両親は、どんな人でも助けるんだってよく言ってます。,But my parents often say that they help anyone.
SAY.Flowchart_1.83.小学生,,こんな街だからこそ、助けあわないとって。,"They say ""We have to help each other""."
SAY.Flowchart_1.31.小学生,,あっ、そろそろ小学校につきますね...。,"Oh, we're almost at elementary school."
SAY.Flowchart_1.32.小学生,,お話聞いてくれて、ありがとうございました。,Thank you for listening to me.
SAY.Flowchart_1.60.小学生,,またいつか、おねがいします！,See you again.
SAY.Flowchart_1.33.ナレーション,,西エリアは学校が多い。中央エリアに戻って客を探してみよう。,There are many schools in the west area. Let's go back to the central area and look for customers.
SAY.Flowchart_1.61.運転手,,そういえば、ご両親は何のお医者さんなんですか？,"By the way, what kind of doctor are your parents?"
SAY.Flowchart_1.62.小学生,,あ、えっと、いろいろしているみたいです。,"Well, it looks like they're doing a lot of things."
SAY.Flowchart_1.63.小学生,,ここの街は狭いから、いろいろな病気とか怪我の人がたくさんきます。,"This town is small, so many people with various diseases and injuries come."
SAY.Flowchart_1.64.運転手,,大変そうですね...,That sounds like a lot of work...
SAY.Flowchart_1.65.小学生,,本当にいろんな人が来るんです。時々、ちょっと危ない人も...,There are so many people coming. Sometimes slightly dangerous person...
SAY.Flowchart_1.66.運転手,,危ない人？,A dangerous person?
SAY.Flowchart_1.67.小学生,,わたしもよく知らないんですけど...。そういうときに、向こうに行ってなさいって言われるから...,"I don't know much about it either, but...I was told to go there at that time, so..."
SAY.Flowchart_1.68.小学生,,でも両親は、どんな人でも助けるんだってよく言ってます。,But my parents often say that they help anyone.
SAY.Flowchart_1.69.小学生,,こんな街だからこそ、助けあわないとって。,"They say ""We have to help each other""."
SAY.Flowchart_1.73.運転手,,すばらしいご両親ですね,Your parents are wonderful.
SAY.Flowchart_1.74.小学生,,そうなんです...！,Yes...!
SAY.Flowchart_1.43.小学生,,あっ、そろそろ文房具屋さんにつきますね...。,"Oh, we are almost at the stationery shop."
SAY.Flowchart_1.44.小学生,,お話聞いてくれて、ありがとうございました。,Thank you for listening to me.
SAY.Flowchart_1.45.小学生,,またいつか、おねがいします！,See you again.
SAY.Flowchart_1.59.ナレーション,,西エリアは学校が多い。中央エリアに戻って客を探してみよう。,There are many schools in the west area. Let's go back to the central area and look for customers.
CHARACTER.小学生,,小学生,Elementary School Student
CHARACTER.運転手,,運転手,Driver
CHARACTER.うさぎのしおり,,うさぎのしおり,Rabbit Bookmark
CHARACTER.ナレーション,,ナレーション,Narration
