Key,Description,JA,EN
SAY.Flowchart_1.1.OL,,ほんとに、噂のタクシーと会えるなんて今日ついてるかも。,"Really, it might be lucky today to meet the rumored taxi."
SAY.Flowchart_1.14.OL,,最近よくないこと続きだったから、神様が慰めてくれたのかな？なんてね。,"Has the God comforted me because the bad things happened recently? Oh, my God."
SAY.Flowchart_1.13.運転手,,よくないこと？,What's wrong?
SAY.Flowchart_1.12.OL,,ちょっと…いろいろあったんだ。,Umm ... There were too many problems.
SAY.Flowchart_1.11.OL,,会社のこととか、対人関係とか。,About the company or interpersonal relations.
SAY.Flowchart_1.10.OL,,…あと、恋人とか。,... and my boyfriend.
SAY.Flowchart_1.9.運転手,,それは大変でしたね…,That's too bad ...
SAY.Flowchart_1.8.OL,,相談したいことっていうのは、それとはまた別…になるのかな？,The thing I want to talk about is another something ...?
SAY.Flowchart_1.7.OL,,いや、そうでもないかも。結局のところ、根は同じなんだろうなって気がしてるんだ。,"No, not really. After all, I'm afraid the roots are the same."
SAY.Flowchart_1.6.OL,,だから相談っていうより、話聞いて欲しいだけなのかも…,"So, I want you to listen to my thought rather than consult to me ..."
SAY.Flowchart_1.5.OL,,それでもいいかな？,Is that okay?
SAY.Flowchart_1.4.運転手,,もちろん、大丈夫ですよ,"Sure, no problem."
SAY.Flowchart_1.3.OL,,よかった！ありがとう。,Great! Thank you.
SAY.Flowchart_1.2.OL,,えーと、うん…何から話せばいいのかな。,"Well, umm ... where should I start?"
SAY.Flowchart_1.22.OL,,人から、よくサバサバしてるというか言われるんだ。,People often tell me that I'm cool.
SAY.Flowchart_1.21.OL,,自分では良くわかんないんだけどね。,I'm not sure myself.
SAY.Flowchart_1.20.OL,,でも仕事とプライベートはちゃんと割り切る方だと思う。,"However, I think that I can divide my work and private life well."
SAY.Flowchart_1.19.OL,,…割り切りすぎってたまに怒られるけど。,"... People sometimes get mad at me because I thought business is business, private is private."
SAY.Flowchart_1.18.OL,,実は、結構…あの…かわいいものとか好きなんだ。,"Actually, pretty much ... that ... I love cute things."
SAY.Flowchart_1.17.OL,,…,...
MENU.Flowchart_1.23,,そんなことないですよ,Not at all.
MENU.Flowchart_1.24,,確かに、そうは見えないかもしれないですね,It may not look so.
SAY.Flowchart_1.27.OL,,優しいんだね。でも、他人からどう見られてるかってちょっとはわかるからさ…,You're so gentle. But I know a little about how other people see me ...
SAY.Flowchart_1.28.OL,,やっぱり、そうだよね…。,Sure enough ...
SAY.Flowchart_1.32.OL,,自分でも、似合わないってわかってるんだ。,I know it doesn't look good on me.
SAY.Flowchart_1.40.OL,,かわいい子にしか、かわいいものは似合わない…,Only cute person are suitable for cute things ...
SAY.Flowchart_1.39.OL,,そう、あのね。わたしの彼氏、めちゃくちゃかわいいのね。,You know what? My boyfriend is so cute.
SAY.Flowchart_1.38.OL,,彼氏ね？彼女じゃなくて。,"My boyfriend, not girlfriend."
SAY.Flowchart_1.37.OL,,たまに、歩いてて勘違いされるんだけど…。,"Sometimes people misunderstand him when he walks, but ..."
SAY.Flowchart_1.36.OL,,多分、10人中8人はかわいいって言うと思う。,Maybe 8 out of 10 people say he is cute.
SAY.Flowchart_1.35.OL,,アパレル系の店員してるんだけど、ほんとにかわいくて…,"He works in the apparel department, but he is really cute ..."
SAY.Flowchart_1.34.OL,,あーごめんなさい、話逸れちゃった。,"Oh, I'm sorry, I missed the point."
SAY.Flowchart_1.33.OL,,まあ、世の中のかわいいものはこういう子たちのためにあるんだろうなって思うんだ。,"Well, I think the cuteness is for these cute person."
SAY.Flowchart_1.43.OL,,…っていう話を彼にしたら、怒られちゃって。,I told him this topic ... and he got mad at me.
SAY.Flowchart_1.42.OL,,実はそれで、今喧嘩中。,"Actually, that's why we are quarreling."
SAY.Flowchart_1.41.運転手,,彼氏さんはなんと言ってらっしゃったんですか？,What did your boyfriend say?
SAY.Flowchart_1.46.OL,,自分の好きなものを好きで何が悪いのって。,What's wrong with liking what you like?
SAY.Flowchart_1.45.OL,,もっと自信を持って、自分を受け入れればいいじゃんって。,You should be more confident and accept yourself.
SAY.Flowchart_1.44.OL,,強さも弱さもまとめて自分なんだよって。,"It's all about yourself, both strength and weakness."
SAY.Flowchart_1.49.OL,,かっこつけるんじゃないって、怒られた。,I was scolded for not showing off.
SAY.Flowchart_1.48.OL,,…中身は、イケメンでしょ？,"... The personality is handsome, isn't it?"
SAY.Flowchart_1.47.OL,,で、同時に正しいの。いつもそう。,And it's right at the same time. Always.
SAY.Flowchart_1.54.運転手,,確かにそうですね,That's true.
SAY.Flowchart_1.53.OL,,でもその時はなんだかカッときて、みんなそんな風に出来たら苦労しないよ！って言っちゃってね。,"But at that time I felt a little angry. And I said ""If everyone could do it that way, it wouldn't be a problem!""."
SAY.Flowchart_1.52.OL,,つい飛び出しちゃった。でも…,I just ran out. But ...
SAY.Flowchart_1.51.OL,,早く謝らないと。,I have to apologize quickly.
SAY.Flowchart_1.50.運転手,,良い彼氏さんなんですね,You have a good boyfriend.
SAY.Flowchart_1.57.OL,,本当に。わたしにはもったいないくらい。,Yes really. It's too good for me.
SAY.Flowchart_1.56.OL,,って言ったらまた怒られるんだろうけど…,"I will be scolded if I say so, but ..."
SAY.Flowchart_1.55.運転手,,きっと、あなたのことを一番理解してくれているんじゃないですか？,I'm sure he understands you best.
SAY.Flowchart_1.63.OL,,！,!
