Key,Description,JA,EN
SAY.Flowchart_1.1.チンピラ,,学校のあたりでおろしてくれりゃいいや。,You can drop me off near the school.
SAY.Flowchart_1.2.ナレーション,,小学校前か中学校前に連れていこう,Take him to the front of elementary school or junior high school.
SAY.Flowchart_1.7.チンピラ,,またいつか頼むぜ。,I hope we can meet some other time.
SAY.Flowchart_1.8.運転手,,ご乗車ありがとうございました,Thank you for riding.
SAY.Flowchart_1.12.ナレーション,,チンピラが、地面に落ちたゴミを拾っているのが見えた。,I saw the hooligan picking up the trash that fell on the ground.
SAY.Flowchart_1.11.ナレーション,,なんとなく、嬉しい気持ちになった。,Somehow I felt happy.
SAY.Flowchart_1.10.チンピラ,,またいつか頼むぜ。,I hope we can meet some other time.
SAY.Flowchart_1.9.運転手,,ご乗車ありがとうございました,Thank you for riding.
SAY.Flowchart_1.16.ナレーション,,チンピラが、地面に落ちたボールを拾っているのが見えた。,I saw the hooligan picking up a ball that fell to the ground.
SAY.Flowchart_1.15.ナレーション,,近くの中学校から飛び出してきてしまったようだ。,It seems to have run out of a junior high school nearby.
SAY.Flowchart_1.14.ナレーション,,チンピラは中学校にボールを投げ返した。,The hooligan threw the ball back to junior high school.
SAY.Flowchart_1.13.ナレーション,,なんとなく、嬉しい気持ちになった。,Somehow I felt happy.
CHARACTER.運転手,,運転手,Driver
CHARACTER.ナレーション,,ナレーション,Narration
CHARACTER.チンピラ,,チンピラ,Hooligan
